03/09/2018 10:55:00.190 ["Hubble Job Quartz Scheduler"_Worker-2] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
03/09/2018 10:55:00.193 ["Hubble Job Quartz Scheduler"_Worker-2] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
03/09/2018 10:59:40.585 [main] INFO  h.b.t.a.TasksRunnerApplication - Starting TasksRunnerApplication v1.0-SNAPSHOT on AR-NB-234 with PID 10944 (C:\Users\andre.vigneaux\repositories\Tsoft-Analytics-Bridge\hubble.backend.tasksrunner\target\hubble.backend.tasksrunner-1.0-SNAPSHOT.jar started by andre.vigneaux in C:\Users\andre.vigneaux\repositories\Tsoft-Analytics-Bridge\hubble.backend.tasksrunner\target) 
03/09/2018 10:59:40.590 [main] INFO  h.b.t.a.TasksRunnerApplication - The following profiles are active: test 
03/09/2018 10:59:50.098 [main] INFO  h.b.t.a.TasksRunnerApplication - Started TasksRunnerApplication in 10.024 seconds (JVM running for 11.381) 
03/09/2018 11:00:01.234 ["Hubble Job Quartz Scheduler"_Worker-2] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
03/09/2018 11:00:01.244 ["Hubble Job Quartz Scheduler"_Worker-2] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
03/09/2018 11:00:01.250 ["Hubble Job Quartz Scheduler"_Worker-2] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
03/09/2018 11:00:02.144 ["Hubble Job Quartz Scheduler"_Worker-1] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de bsm. Resultado: SUCCESS 
03/09/2018 11:00:02.158 ["Hubble Job Quartz Scheduler"_Worker-1] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de bsm. Resultado: SUCCESS 
03/09/2018 11:00:02.161 ["Hubble Job Quartz Scheduler"_Worker-1] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de bsm. Resultado: SUCCESS 
03/09/2018 11:05:00.202 ["Hubble Job Quartz Scheduler"_Worker-3] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
03/09/2018 11:05:00.206 ["Hubble Job Quartz Scheduler"_Worker-3] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
03/09/2018 11:05:00.216 ["Hubble Job Quartz Scheduler"_Worker-3] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
